method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.820000
BUCKET,1,3,26.282000
BUCKET,2,4,54.092000
BUCKET,3,5,8.300000
TORCH,0,4,27.121000
TORCH,1,3,19.762000
TORCH,2,4,17.431000
TORCH,3,5,7.520000
