method,bucket_key,samples,median_runtime_us
BUCKET,0,1,39.740000
BUCKET,1,2,27.980000
BUCKET,2,2,39.831000
BUCKET,3,3,8.300000
FULL_TUNE,0,1,39.600000
FULL_TUNE,1,2,26.281000
FULL_TUNE,2,2,25.460000
FULL_TUNE,3,3,8.100000
TORCH,0,1,27.280000
TORCH,1,2,21.161000
TORCH,2,2,17.440000
TORCH,3,3,6.300000
