method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,256,70.632001,126.671313,166.699042,6.111710,1.000000
BUCKET,256,253.951997,339.080500,329.888007,2.036337,0.278131
