method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,16,128.897500,138.773000,165.926610,7.172446,1.000000
BUCKET,16,130.243500,155.870000,166.708620,6.379087,0.989666
ONEKEY,16,134.443500,161.220438,172.439620,6.033449,0.958748
TORCH,16,15.590500,17.950375,22.739500,58.261546,8.267695
