method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,19,924.127996,3.970067
BUCKET,1,52,319.192000,3.560172
BUCKET,2,27,314.304009,3.649267
BUCKET,3,55,164.799996,2.241038
BUCKET,4,11,905.215979,0.337816
BUCKET,5,37,207.872003,0.510046
BUCKET,6,16,427.480005,0.239752
BUCKET,7,39,104.879998,0.321307
FULL,0,19,329.728007,10.138437
FULL,1,52,89.463999,11.970199
FULL,2,27,105.471998,9.940819
FULL,3,55,51.199999,7.063213
FULL,4,11,557.568014,0.593593
FULL,5,37,61.952000,1.171005
FULL,6,16,89.856001,0.925805
FULL,7,39,48.224000,0.717144
