method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,256,73.584002,126.709812,162.437119,6.080556,1.000000
BUCKET,256,249.767996,328.624313,325.166088,2.284697,0.294609
TORCH,256,212.480001,311.532438,267.537443,2.545884,0.346310
