method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,16,99.824000,119.734000,120.222720,9.534941,1.000000
BUCKET,16,107.967995,126.335999,137.891845,8.955832,0.924570
ONEKEY,16,318.432003,390.864005,389.754250,2.521367,0.313486
TORCH,16,152.064003,200.064001,162.083842,6.623182,0.656460
