method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,256,69.480000,124.827875,150.061440,6.228790,1.000000
BUCKET,256,226.751994,318.646187,317.291840,2.325475,0.306414
