method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,256,72.264001,125.060187,153.928479,6.271318,1.000000
BUCKET,256,233.103998,329.636750,337.377282,2.362541,0.310008
ONEKEY,256,272.303998,346.104376,378.141281,1.953204,0.265380
TORCH,256,187.239997,278.096374,231.846559,2.818388,0.385943
