method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,4,1041.663989,5.648963
BUCKET,1,27,302.047998,6.216273
BUCKET,2,22,313.479997,5.733160
BUCKET,3,30,200.424001,3.830056
BUCKET,4,13,905.727983,1.993877
BUCKET,5,46,167.664003,1.888458
BUCKET,6,34,406.440005,1.130311
BUCKET,7,80,146.528002,0.753222
FULL,0,4,444.415987,14.065903
FULL,1,27,98.304003,14.760000
FULL,2,22,118.784003,13.191574
FULL,3,30,62.431999,11.605420
FULL,4,13,557.007998,3.256445
FULL,5,46,63.071998,3.680264
FULL,6,34,106.495999,2.884629
FULL,7,80,50.175998,1.999079
