timestamp,method,workload,split,shape_id,M,N,K,dtype,gpu,config_id,BLOCK_M,BLOCK_N,BLOCK_K,num_warps,num_stages,GROUP_M,compile_time_ms,tune_time_ms,runtime_cost_us,p99_us,runtime_perf_tflops,bucket_m,bucket_n,bucket_k,cache_key,invalid_config,notes
2026-03-03T13:25:08.301129+00:00,ONEKEY,llm_style,tune,llm_style_tune_000,1,3072,1536,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,8.94,9.213600000000001,1.055613422818792,7,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:12.878841+00:00,ONEKEY,llm_style,tune,llm_style_tune_001,16,1024,8192,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,39.142,39.84968,6.857990291758213,6,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(4),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:18.885260+00:00,ONEKEY,llm_style,tune,llm_style_tune_002,16,8192,8192,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,82.842,83.43319999999999,25.922643683155886,4,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:23.704149+00:00,ONEKEY,llm_style,tune,llm_style_tune_003,64,6144,3072,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,62.52,62.7732,38.64234011516315,1,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:29.743620+00:00,ONEKEY,llm_style,tune,llm_style_tune_004,64,8192,8192,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,247.744,249.8772,34.67262412813226,0,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:34.508739+00:00,ONEKEY,llm_style,tune,llm_style_tune_005,64,2048,8192,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,79.062,79.36112,27.16202028787534,2,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:38.900813+00:00,ONEKEY,llm_style,tune,llm_style_tune_006,32,1024,1536,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,0.0,8.902,9.846400000000001,11.307941586160414,3,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(8),swizzle2d_g=4,dir=1;timing=npu_profiler_offline_kernel_details"
2026-03-03T13:25:38.900952+00:00,ONEKEY,llm_style,tune,llm_style_tune_007,16,6144,4096,fp16,Ascend910B2,c29,16,256,128,4,2,4,0.0,5000.418,23.66,23.9872,34.03661741335588,5,-1,-1,onekey:16x6144x4096,0,"onekey_rep_shape=16x6144x4096;onekey_rep_vs_torch=0.852916x(torch=20.180us,triton=23.660us,min=0.000);batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
