method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,16,941.784009,4.336708
BUCKET,1,43,291.839987,5.101326
BUCKET,2,22,448.000006,3.022291
BUCKET,3,38,184.728004,2.962770
BUCKET,4,14,807.096004,0.750084
BUCKET,5,46,183.807999,0.912405
BUCKET,6,21,352.256000,0.506279
BUCKET,7,56,100.039998,0.607943
FULL,0,16,330.216005,11.396132
FULL,1,43,94.864000,13.089432
FULL,2,22,107.775999,11.465224
FULL,3,38,58.568000,8.857249
FULL,4,14,491.007999,1.260767
FULL,5,46,68.488000,1.953800
FULL,6,21,97.664002,1.508248
FULL,7,56,45.424000,1.368399
