method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,64,236.310001,236.940937,250.514198,3.790403,1.000000
BUCKET,64,245.664999,258.224063,266.703704,3.402215,0.961920
ONEKEY,64,248.819999,263.120000,276.448798,3.222131,0.949723
TORCH,64,105.459999,105.689063,113.062500,8.643020,2.240755
