method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,8,1210.623980,4.046070
BUCKET,1,37,314.368010,5.120878
BUCKET,2,30,357.223995,4.781512
BUCKET,3,44,196.848001,3.140811
BUCKET,4,9,915.423989,0.826515
BUCKET,5,36,195.976000,0.915119
BUCKET,6,26,454.144001,0.444602
BUCKET,7,66,108.023999,0.604498
FULL,0,8,433.624007,10.839044
FULL,1,37,96.224003,13.526544
FULL,2,30,117.544001,11.604303
FULL,3,44,58.032000,9.997395
FULL,4,9,557.983994,1.403962
FULL,5,36,61.903999,2.326258
FULL,6,26,89.088000,1.481541
FULL,7,66,46.928000,1.279700
