method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,33,273.775995,4.457962
BUCKET,1,36,646.136001,5.435377
BUCKET,2,31,135.072000,3.836565
BUCKET,3,25,276.479989,3.338860
BUCKET,4,37,155.647993,1.007692
BUCKET,5,35,657.920003,0.703774
BUCKET,6,30,77.719999,0.572317
BUCKET,7,29,113.488000,0.423417
FULL,0,33,111.935999,11.619808
FULL,1,36,344.303995,10.802526
FULL,2,31,56.320000,8.657042
FULL,3,25,81.903998,9.428596
FULL,4,37,61.136000,2.266406
FULL,5,35,325.632006,1.517422
FULL,6,30,43.352000,1.086900
FULL,7,29,51.199999,0.797524
