method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,2,826.079994,4.533103
BUCKET,1,43,270.287991,6.273875
BUCKET,2,17,397.311985,5.095382
BUCKET,3,57,182.783999,4.100928
BUCKET,4,8,1231.976002,0.506333
BUCKET,5,37,187.759995,1.132566
BUCKET,6,14,518.847987,0.565122
BUCKET,7,78,122.032000,0.574493
FULL,0,2,495.087989,7.581052
FULL,1,43,87.040000,13.719854
FULL,2,17,109.664001,12.602583
FULL,3,57,63.839998,10.370081
FULL,4,8,558.520004,1.107712
FULL,5,37,80.895998,2.081490
FULL,6,14,162.303999,1.550330
FULL,7,78,50.031999,1.255729
