method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,256,74.240003,159.966375,188.758562,5.738788,1.000000
BUCKET,256,201.631997,359.148750,311.162238,2.486549,0.368196
