method,samples,p50_runtime_us,mean_runtime_us,p99_us_median,mean_tflops,speedup_vs_full
FULL,256,74.256001,126.550812,152.477919,6.100912,1.000000
BUCKET,256,212.480001,306.943937,301.624477,2.566216,0.349473
TORCH,256,200.064003,294.249501,253.912319,2.654556,0.371161
