method,bucket_key,samples,median_runtime_us
BUCKET,0,1,39.700000
BUCKET,1,2,27.876000
BUCKET,2,2,39.320000
BUCKET,3,3,8.120000
FULL_TUNE,0,1,39.351000
FULL_TUNE,1,2,26.166000
FULL_TUNE,2,2,25.486000
FULL_TUNE,3,3,8.150000
TORCH,0,1,26.020000
TORCH,1,2,20.745000
TORCH,2,2,16.390000
TORCH,3,3,6.190000
