method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.896500
BUCKET,1,3,26.060000
BUCKET,2,4,54.256500
BUCKET,3,5,8.120000
FULL_TUNE,0,4,45.755000
FULL_TUNE,1,3,23.431000
FULL_TUNE,2,4,26.430500
FULL_TUNE,3,5,8.150000
TORCH,0,4,27.100000
TORCH,1,3,19.900000
TORCH,2,4,17.435000
TORCH,3,5,6.780000
