stage,start_utc,end_utc,elapsed_sec,detail
setup_benchmark,2026-03-04T07:47:23Z,2026-03-04T07:47:31Z,7,"results_csv=results/selected_validate_20260304T074723Z/full_tune_torch.csv,c1=8[c00,c01,c02,c03,c04,c05,c06,c07]"
select_c2_from_sampled_full_tune,2026-03-04T07:47:31Z,2026-03-04T07:51:09Z,218,"sampled_full_tune shapes=2 c1=8 entries=16 c2=1 batch_tune_ms=218138.612,c2_ids=[c00],sample_report=results/selected_validate_20260304T074723Z/sampled_full_tune_picks.csv"
benchmark_full_tune_validate,2026-03-04T07:51:09Z,2026-03-04T07:51:25Z,16,"method=FULL_TUNE eval_rows=2 candidates=1 entries=2 batch_tune_ms=16249.377,cache_hit=0 cache_key=5e1716a7c1f802161d640a06651bf4237b2a1bea cache_csv=results/full_tune_cache/5e1716a7c1f802161d640a06651bf4237b2a1bea.csv"
benchmark_torch,2026-03-04T07:51:25Z,2026-03-04T07:51:40Z,15,method=TORCH eval_rows=2
case_compare,2026-03-04T07:51:40Z,2026-03-04T07:51:40Z,0,"case_compare_csv=results/selected_validate_20260304T074723Z/full_tune_torch_case_compare_eval.csv,rows=2"
summary,2026-03-04T07:51:40Z,2026-03-04T07:51:40Z,0,"overall=results/selected_validate_20260304T074723Z/full_tune_torch_summary_overall.csv,tune=results/selected_validate_20260304T074723Z/full_tune_torch_summary_tune.csv,bucket=results/selected_validate_20260304T074723Z/full_tune_torch_summary_by_bucket.csv,speed_p=2.0"
metric_gate,2026-03-04T07:51:40Z,2026-03-04T07:51:40Z,0,"speed_FULL_TUNE_over_TORCH_p2=0.714493,target=0.000000"
all_total,2026-03-04T07:47:23Z,2026-03-04T07:51:40Z,257,pipeline_total
