method,bucket_key,samples,median_runtime_us
BUCKET,6,2,30.921000
BUCKET,7,2,8.321000
FULL_TUNE,6,2,25.980000
FULL_TUNE,7,2,7.760000
TORCH,6,2,16.440000
TORCH,7,2,6.180000
