method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,4,47.052000,51.443014
BUCKET,1,3,26.602000,50.367157
BUCKET,2,4,54.421000,20.077715
BUCKET,3,5,8.120000,15.230172
TORCH,0,4,27.380000,82.810440
TORCH,1,3,20.600000,73.667056
TORCH,2,4,17.560000,54.369525
TORCH,3,5,6.960000,30.590917
