stage,start_utc,end_utc,elapsed_sec,detail
setup_benchmark,2026-03-04T04:07:33Z,2026-03-04T04:07:41Z,7,"results_csv=results/pipeline_repro_20260304T040733Z/bucket_torch.csv,reachable_keys=[4, 5, 6, 7],unreachable_keys=[0, 1, 2, 3],eval_keys=[4, 5, 6, 7]"
prototype,2026-03-04T04:07:41Z,2026-03-04T04:08:10Z,29,"prototype_shapes=4[8x2048x4096,64x6144x1024,4x6144x1024,64x8192x8192] candidates=3[c18,c16,c29] prototype_report_csv=results/pipeline_repro_20260304T040733Z/prototype_best.csv"
benchmark_bucket,2026-03-04T04:08:10Z,2026-03-04T04:08:46Z,35,"method=BUCKET rows=32 tuned_keys=4 splits=(128, 2048, 3072)"
benchmark_torch,2026-03-04T04:08:46Z,2026-03-04T04:08:46Z,0,"method=TORCH eval_rows=16,async_capture=1,async_wall_sec=65"
case_compare,2026-03-04T04:08:46Z,2026-03-04T04:08:46Z,0,"case_compare_csv=results/pipeline_repro_20260304T040733Z/bucket_torch_case_compare_eval.csv,rows=16"
summary,2026-03-04T04:08:46Z,2026-03-04T04:08:46Z,0,"overall=results/pipeline_repro_20260304T040733Z/bucket_torch_summary_overall.csv,tune=results/pipeline_repro_20260304T040733Z/bucket_torch_summary_tune.csv,bucket=results/pipeline_repro_20260304T040733Z/bucket_torch_summary_by_bucket.csv"
all_total,2026-03-04T04:07:33Z,2026-03-04T04:08:46Z,73,pipeline_total
