method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.381500
BUCKET,1,3,26.120000
BUCKET,2,4,54.577000
BUCKET,3,5,8.061000
FULL_TUNE,0,4,45.882000
FULL_TUNE,1,3,23.251000
FULL_TUNE,2,4,26.321000
FULL_TUNE,3,5,8.110000
TORCH,0,4,27.260000
TORCH,1,3,19.450000
TORCH,2,4,17.435000
TORCH,3,5,7.040000
