method,bucket_key,samples,median_runtime_us
BUCKET,4,4,38.331000
BUCKET,5,3,20.020000
BUCKET,6,4,21.860000
BUCKET,7,5,10.600000
TORCH,4,4,26.890000
TORCH,5,3,19.820000
TORCH,6,4,17.551000
TORCH,7,5,6.760000
