method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.770000
BUCKET,1,3,25.880000
BUCKET,2,4,26.500000
BUCKET,3,5,8.440000
FULL_TUNE,0,4,45.611000
FULL_TUNE,1,3,23.440000
FULL_TUNE,2,4,26.331000
FULL_TUNE,3,5,8.100000
TORCH,0,4,27.320000
TORCH,1,3,19.942000
TORCH,2,4,17.510000
TORCH,3,5,6.880000
