timestamp,method,workload,split,shape_id,M,N,K,dtype,gpu,config_id,BLOCK_M,BLOCK_N,BLOCK_K,compile_time_ms,tune_time_ms,runtime_cost_us,bucket_key,cache_key,invalid_config,notes
2026-03-04T04:13:56.279874+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_000,1,3072,1536,fp16,Ascend910B2,c29,16,256,128,0.0,15868.721,10.02,5,bucket_g5,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.279942+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_001,2,1536,4096,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,20.54,6,bucket_g6,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(6),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.279966+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_002,16,6144,4096,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,24.1,4,bucket_g4,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.279986+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_003,4,4096,1536,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,10.02,5,bucket_g5,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.280008+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_004,32,1024,1536,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,9.82,7,bucket_g7,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(8),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.280028+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_005,64,1536,4096,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,20.54,6,bucket_g6,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(6),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.280045+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_006,8,4096,3072,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,10.02,5,bucket_g5,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.280064+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_007,64,2048,1024,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,9.82,7,bucket_g7,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(8),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.280084+00:00,BUCKET,bucket_torch_npu,eval,bucket_torch_eval_000,32,1536,1024,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,7.52,7,bucket_g7,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T04:13:56.280103+00:00,BUCKET,bucket_torch_npu,eval,bucket_torch_eval_001,32,2048,8192,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,39.94,6,bucket_g6,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(16),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
