stage,start_utc,end_utc,elapsed_sec,detail
setup_benchmark,2026-03-04T04:13:09Z,2026-03-04T04:13:17Z,7,"results_csv=results/pipeline_repro_20260304T041309Z/bucket_torch.csv,reachable_keys=[4, 5, 6, 7],unreachable_keys=[0, 1, 2, 3],eval_keys=[6, 7]"
prototype,2026-03-04T04:13:17Z,2026-03-04T04:13:40Z,23,prototype_shapes=1[8x4096x3072] candidates=1[c29] prototype_report_csv=results/pipeline_repro_20260304T041309Z/prototype_best.csv
benchmark_bucket,2026-03-04T04:13:40Z,2026-03-04T04:14:13Z,33,"method=BUCKET rows=12 tuned_keys=4 splits=(128, 2048, 3072)"
benchmark_torch,2026-03-04T04:14:13Z,2026-03-04T04:14:13Z,0,"method=TORCH eval_rows=4,async_capture=1,async_wall_sec=56"
case_compare,2026-03-04T04:14:13Z,2026-03-04T04:14:13Z,0,"case_compare_csv=results/pipeline_repro_20260304T041309Z/bucket_torch_case_compare_eval.csv,rows=4"
summary,2026-03-04T04:14:13Z,2026-03-04T04:14:13Z,0,"overall=results/pipeline_repro_20260304T041309Z/bucket_torch_summary_overall.csv,tune=results/pipeline_repro_20260304T041309Z/bucket_torch_summary_tune.csv,bucket=results/pipeline_repro_20260304T041309Z/bucket_torch_summary_by_bucket.csv"
all_total,2026-03-04T04:13:09Z,2026-03-04T04:14:13Z,64,pipeline_total
