method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.641000
BUCKET,1,3,26.140000
BUCKET,2,4,26.880000
BUCKET,3,5,8.080000
TORCH,0,4,27.650000
TORCH,1,3,20.420000
TORCH,2,4,17.690000
TORCH,3,5,6.840000
