method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.905500
BUCKET,1,3,25.880000
BUCKET,2,4,54.025500
BUCKET,3,5,8.080000
FULL_TUNE,0,4,45.576500
FULL_TUNE,1,3,23.220000
FULL_TUNE,2,4,26.351500
FULL_TUNE,3,5,8.180000
TORCH,0,4,27.095500
TORCH,1,3,19.430000
TORCH,2,4,17.466000
TORCH,3,5,6.820000
