method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,0,4,47.791000,50.668001
BUCKET,1,3,26.100000,49.643257
BUCKET,2,4,26.481000,36.738059
BUCKET,3,5,8.280000,14.943145
TORCH,0,4,27.231000,83.677124
TORCH,1,3,19.500000,74.594750
TORCH,2,4,17.280000,54.837455
TORCH,3,5,6.780000,30.752228
