stage,start_utc,end_utc,elapsed_sec,detail
prototype_select,2026-03-03T13:57:38Z,2026-03-03T13:58:42Z,64,
prototype_dedup,2026-03-03T13:58:42Z,2026-03-03T13:58:43Z,0,
benchmark_bucket_torch,2026-03-03T13:58:43Z,2026-03-03T14:00:57Z,134,
case_compare,2026-03-03T14:00:57Z,2026-03-03T14:00:57Z,0,
summary,2026-03-03T14:00:57Z,2026-03-03T14:00:57Z,0,
