method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.767000
BUCKET,1,3,25.911000
BUCKET,2,4,26.346000
BUCKET,3,5,8.200000
TORCH,0,4,27.260000
TORCH,1,3,19.551000
TORCH,2,4,17.435000
TORCH,3,5,7.240000
