method,bucket_key,samples,median_runtime_us
BUCKET,0,4,46.371000
BUCKET,1,3,26.002000
BUCKET,2,4,26.650000
BUCKET,3,5,8.280000
TORCH,0,4,27.371000
TORCH,1,3,19.362000
TORCH,2,4,17.730000
TORCH,3,5,6.860000
