stage,start_utc,end_utc,elapsed_sec,detail
setup_benchmark,2026-03-04T09:37:31Z,2026-03-04T09:37:39Z,8,"results_csv=results/pipeline_repro_20260304T093731Z/bucket_torch.csv,reachable_keys=[0, 1, 2, 3, 4, 5, 6, 7],unreachable_keys=[],eval_keys=[0, 1, 2, 3]"
prototype,2026-03-04T09:37:39Z,2026-03-04T09:38:06Z,26,"prototype_shapes=4[8x2048x4096,64x6144x1024,4x6144x1024,64x8192x8192] candidates=3[c18,c29,c16] prototype_report_csv=results/pipeline_repro_20260304T093731Z/prototype_best.csv"
benchmark_bucket,2026-03-04T09:38:06Z,2026-03-04T09:38:45Z,39,"method=BUCKET rows=32 tuned_keys=8 splits=(4, 2048, 3072)"
benchmark_torch,2026-03-04T09:38:45Z,2026-03-04T09:38:45Z,0,"method=TORCH eval_rows=16,async_capture=1,async_wall_sec=66"
case_compare,2026-03-04T09:38:45Z,2026-03-04T09:38:45Z,0,"case_compare_csv=results/pipeline_repro_20260304T093731Z/bucket_torch_case_compare_eval.csv,rows=16"
summary,2026-03-04T09:38:45Z,2026-03-04T09:38:45Z,0,"overall=results/pipeline_repro_20260304T093731Z/bucket_torch_summary_overall.csv,tune=results/pipeline_repro_20260304T093731Z/bucket_torch_summary_tune.csv,bucket=results/pipeline_repro_20260304T093731Z/bucket_torch_summary_by_bucket.csv"
all_total,2026-03-04T09:37:31Z,2026-03-04T09:38:45Z,74,pipeline_total
