method,bucket_key,samples,median_runtime_us
BUCKET,6,1,42.940000
BUCKET,7,1,7.720000
FULL_TUNE,6,1,33.920000
FULL_TUNE,7,1,6.780000
TORCH,6,1,24.102000
TORCH,7,1,6.400000
