timestamp,method,workload,split,shape_id,M,N,K,dtype,gpu,config_id,BLOCK_M,BLOCK_N,BLOCK_K,compile_time_ms,tune_time_ms,runtime_cost_us,bucket_key,cache_key,invalid_config,notes
2026-03-04T06:18:25.728592+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_000,1,3072,1536,fp16,Ascend910B2,c29,16,256,128,0.0,15226.82,9.98,5,bucket_g5,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728664+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_001,2,1536,4096,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,20.34,6,bucket_g6,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(6),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728688+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_002,16,6144,4096,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,23.4,4,bucket_g4,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728709+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_003,4,4096,1536,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,9.98,5,bucket_g5,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728730+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_004,32,1024,1536,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,10.7,7,bucket_g7,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(8),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728752+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_005,64,1536,4096,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,20.34,6,bucket_g6,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(6),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728772+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_006,8,4096,3072,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,9.98,5,bucket_g5,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728792+00:00,BUCKET,bucket_torch_npu,tune,bucket_torch_tune_007,64,2048,1024,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,10.7,7,bucket_g7,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(8),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728816+00:00,BUCKET,bucket_torch_npu,eval,bucket_torch_eval_000,32,1536,1024,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,7.72,7,bucket_g7,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:18:25.728835+00:00,BUCKET,bucket_torch_npu,eval,bucket_torch_eval_001,32,2048,8192,fp16,Ascend910B2,c29,16,256,128,0.0,0.0,42.94,6,bucket_g6,0,"batch_tune;path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(16),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:19:03.998263+00:00,FULL_TUNE,bucket_torch_npu,eval,bucket_torch_eval_000,32,1536,1024,fp16,Ascend910B2,c18,64,128,128,3.490246832370758,16152.516,6.78,7,full_tune:32x1536x1024,0,"full_tune_batch_all;no_change;launch=fixed_cores(12),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:19:03.998353+00:00,FULL_TUNE,bucket_torch_npu,eval,bucket_torch_eval_001,32,2048,8192,fp16,Ascend910B2,c16,96,128,128,0.0,0.0,33.92,6,full_tune:32x2048x8192,0,"full_tune_batch_all;no_change;launch=fixed_cores(16),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
2026-03-04T06:19:24.333386+00:00,TORCH,bucket_torch_npu,eval,bucket_torch_eval_000,32,1536,1024,fp16,Ascend910B2,torch_mm_npu,-1,-1,-1,461.553106084466,0.0,6.4,7,torch_mm_npu,0,torch_mm_npu;timing=npu_profiler_batch_offline_kernel_step
2026-03-04T06:19:24.333439+00:00,TORCH,bucket_torch_npu,eval,bucket_torch_eval_001,32,2048,8192,fp16,Ascend910B2,torch_mm_npu,-1,-1,-1,0.0,0.0,24.102,6,torch_mm_npu,0,torch_mm_npu;timing=npu_profiler_batch_offline_kernel_step
