method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,2,2,25.710500,23.515348
BUCKET,3,2,7.100000,14.507418
TORCH,2,2,16.375500,36.937968
TORCH,3,2,6.010000,16.753057
